,RADeg,decDeg,SNR,numSigPix,deltaT_c,fluxmJy,method,catalog_idx,snr_threshold,iter_num,idx,remeasured,component,patch_num,patch_idx
101259,25.49733333333341,5.3720000000000185,565.2059878827171,49,4461.373368403698,10.532072134455875,catalog,190,250.0,75,0,True,radio,0,109698
0,24.972666666666736,5.520000000000018,386.7191100729684,29,6057.574492138996,14.296736632031283,catalog,23,250.0,1,1,False,radio,0,0
1,26.930666666666745,6.750000000000023,192.95180865492392,45,2797.692339458494,6.58773268595379,catalog,456,100.0,2,2,False,radio,0,2
2,26.22466666666676,5.320000000000018,182.6942393582096,37,3033.650459001029,7.16221504381935,catalog,138,100.0,2,3,False,radio,0,3
3,26.54000000000008,5.744666666666686,167.22899378634995,37,2626.19817687209,6.1958047405625205,catalog,784,100.0,2,4,False,radio,0,4
97465,25.448000000000075,6.597333333333356,153.7700882573301,29,982.3703012392816,2.31391048191207,catalog,264,100.0,56,5,True,radio,0,105751
4,27.03266666666676,6.232666666666688,142.23029243652405,21,2166.392032693334,5.106453185989751,catalog,1314,100.0,2,6,False,radio,0,5
5,25.69133333333341,6.606000000000022,129.47882534434007,21,1785.9739652182452,4.20667358097017,catalog,1606,100.0,2,7,False,radio,0,6
97466,25.336666666666755,5.219333333333351,108.63211035809084,5,749.2466900423404,1.7692020059066011,catalog,6832,100.0,56,8,True,radio,0,105752
97467,26.34133333333342,6.312000000000022,104.44703224232131,3,741.7214891007125,1.7480618275493578,map,-1,100.0,56,9,True,unknown,0,105753
97468,25.88400000000009,5.291333333333352,98.77220511653378,43,669.6398972330651,1.5810415863816498,catalog,19,50.0,57,10,True,cib,0,105754
97469,25.97266666666675,5.410666666666685,98.73489806892472,51,656.4537181837217,1.5496069913143151,catalog,8217,50.0,57,11,True,radio,0,105755
97470,26.11266666666674,6.356000000000021,94.3521681182693,41,693.5764357340681,1.6344567701648691,catalog,0,50.0,57,12,True,cib,0,105756
6,26.295333333333414,6.200000000000021,91.60171213967102,13,1547.109356530868,3.646954011204324,catalog,2677,75.0,3,13,False,radio,0,7
7,24.953333333333426,5.197333333333351,90.99650106039796,13,1432.3358500237118,3.382302904427969,catalog,2796,75.0,3,14,False,radio,0,8
101260,26.18400000000009,6.839333333333356,88.46265108370947,39,527.0425564472148,1.24079765565289,catalog,7864,50.0,76,15,True,radio,0,109700
97471,25.72466666666676,6.978666666666691,86.99430669848705,37,558.8717022655298,1.3153439697215157,catalog,17,50.0,57,16,True,cib,0,105759
8,26.515333333333427,5.304666666666685,86.84107195164364,9,1314.7297651146598,3.104052749182285,catalog,2503,75.0,3,17,False,radio,0,9
97472,25.708000000000084,5.788666666666687,83.5086095648829,37,550.1727632850707,1.2978826963127397,catalog,49,50.0,57,18,True,cib,0,105760
101538,25.521333333333423,5.8093333333333526,83.13125298272529,36,482.2474532703616,1.1376021103560958,catalog,101656,50.0,85,19,True,cib,0,109992
101261,25.970666666666755,6.246000000000021,77.79143514465146,29,497.8806290027197,1.173535899639393,catalog,10606,50.0,76,20,True,radio,0,109702
101262,26.20400000000009,6.403333333333356,76.50700967122731,27,493.9479893549706,1.1639123357220955,catalog,225,50.0,76,21,True,cib,0,109703
101263,26.308666666666763,6.160666666666687,74.54852685110626,28,481.4614383490048,1.1350181850701069,catalog,38,50.0,76,22,True,cib,0,109704
97473,26.38333333333341,5.220666666666684,73.78614293207355,24,511.7538015011551,1.208405601442006,catalog,46,50.0,57,23,True,cib,0,105762
97474,26.33866666666676,6.86066666666669,73.58092208144784,24,464.9999735641708,1.0946843912067885,catalog,20,50.0,57,24,True,cib,0,105763
101264,26.067333333333423,5.813333333333353,72.57333605752844,25,441.8375287300792,1.0422693529819005,catalog,2779,50.0,76,25,True,cib,0,109705
97475,25.654666666666763,5.4906666666666855,71.94285305711409,22,489.375091153196,1.1550513467885444,catalog,81,50.0,57,26,True,cib,0,105765
9,25.07333333333342,5.397333333333352,70.54029390212818,21,1076.1278928137715,2.54033512530495,catalog,3745,50.0,4,27,False,radio,0,11
101539,26.66466666666675,5.77000000000002,70.17402510529696,23,426.22312342824137,1.0055131007947615,catalog,27748,50.0,85,28,True,radio,0,109993
97476,25.742000000000072,6.550000000000022,69.7443944229515,22,457.6220529478189,1.0780030467899333,catalog,123,50.0,57,29,True,cib,0,105768
97477,26.924666666666763,6.649333333333356,69.26680444083105,21,458.4043570174968,1.0796282346397208,catalog,127,50.0,57,30,True,cib,0,105769
10,26.309333333333427,6.584000000000022,68.96354442847344,21,990.8493245581592,2.333945428358689,catalog,4244,50.0,4,31,False,radio,0,12
97478,25.724000000000068,5.229333333333351,68.55256018277336,21,460.45378559157393,1.0872554868590782,catalog,148,50.0,57,32,True,cib,0,105770
97479,26.75733333333343,5.93400000000002,68.12822357836676,21,454.8042687718922,1.0726248820488398,catalog,320,50.0,57,33,True,cib,0,105771
97480,26.96600000000009,5.811333333333353,66.8842137392378,21,444.933129151513,1.0495754176869203,catalog,25532,50.0,57,34,True,radio,0,105772
101540,26.9420000000001,6.594000000000023,66.47375041006435,21,398.2843656852156,0.9381397227627574,catalog,75,50.0,85,35,True,cib,0,109994
97481,26.8160000000001,5.596000000000019,66.31542503351359,21,450.6313423414748,1.063416497365265,catalog,105,50.0,57,36,True,cib,0,105773
11,25.035333333333416,5.310000000000018,65.60314657664246,21,1029.487706316781,2.430580519599749,catalog,3916,50.0,4,37,False,radio,0,13
101541,26.500666666666746,5.199333333333351,65.58485595817882,19,398.8796767534133,0.941907345747508,catalog,3,50.0,85,38,True,cib,0,109995
97482,26.478666666666754,6.345333333333355,65.1070303542307,22,446.13095093318367,1.0513574324045492,catalog,153,50.0,57,39,True,cib,0,105775
101265,26.05933333333342,6.437333333333355,65.09863339436939,20,430.09633694350345,1.0133876036856553,catalog,8,50.0,76,40,True,cib,0,109707
12,27.01933333333341,5.510666666666685,64.64451353089595,19,947.2396114361472,2.2356549434717694,catalog,7906,50.0,4,41,False,radio,0,14
97483,25.435333333333418,6.984000000000024,63.66517545787007,18,401.1905964143781,0.9442196269312964,catalog,92,50.0,57,42,True,cib,0,105776
97484,26.98400000000009,5.827333333333353,62.78667643162887,18,422.820771360524,0.9973851613517256,catalog,4086,50.0,57,43,True,radio,0,105779
13,25.57400000000008,5.124666666666684,62.735540330308766,17,983.8490215533608,2.3235154829228217,catalog,5092,50.0,4,44,False,radio,0,15
97485,25.167333333333403,7.000000000000024,62.50642846292586,19,391.9892515779252,0.9225323803294744,catalog,103,50.0,57,45,True,cib,0,105780
97486,25.440000000000097,6.544666666666688,61.19251963854836,16,385.0989231583444,0.9071726260732186,catalog,18383,50.0,57,46,True,radio,0,105783
14,25.50000000000009,5.88800000000002,60.6557251520484,13,768.6922570877274,1.8130604140227573,catalog,9,50.0,4,47,False,cib,0,16
101266,25.73600000000009,6.304666666666688,60.52873772930682,15,363.8986960597529,0.8576351318089477,catalog,61,50.0,76,48,True,cib,0,109709
15,25.97600000000008,6.978666666666691,60.29654977547621,12,788.2601691726792,1.8552259058561664,catalog,2051,50.0,4,49,False,radio,0,17
97487,25.327333333333417,5.8253333333333535,59.99303066445416,12,396.49979757598265,0.9353003529182408,catalog,32,50.0,57,50,True,cib,0,105787
97488,25.1773333333334,6.963333333333357,59.232444722180766,10,371.65838001676735,0.8747528150503839,catalog,141,50.0,57,51,True,cib,0,105788
