,RADeg,decDeg,SNR,numSigPix,deltaT_c,fluxmJy,method,catalog_idx,snr_threshold,iter_num,idx,remeasured,component,patch_num,patch_idx
104,25.282000000000075,5.749333333333353,15.847858483996172,8,75.91150686936062,0.2604695302796339,map,-1,15.0,10,174,False,radio,0,138
105,26.89266666666677,5.230666666666685,15.836101586504904,10,83.34147962942832,0.2862124412907882,map,-1,15.0,10,175,False,radio,0,139
100149,26.34533333333341,5.439333333333352,15.815165941506542,21,56.15040652198928,0.1927668044307948,catalog,353,15.0,33,176,True,cib,0,102831
100150,25.10400000000008,5.95800000000002,15.772543869430288,22,52.59198534333207,0.1803875538454059,catalog,763,15.0,33,177,True,cib,0,102832
100151,25.260000000000083,6.201333333333355,15.70941637865318,9,54.15230453077768,0.1856554962739032,map,-1,15.0,33,178,True,radio,0,102833
100152,26.718666666666763,6.632666666666689,15.705956354659008,7,54.02673642856685,0.1850681142739101,map,-1,15.0,33,179,True,radio,0,102834
106,25.154666666666746,6.618000000000023,15.623084196379692,7,66.49156943223966,0.2277730708214255,catalog,95,15.0,10,180,False,cib,0,140
100153,25.506666666666742,6.296666666666688,15.518050905512943,4,53.90334068536183,0.1847681533081782,map,-1,15.0,33,181,True,radio,0,102835
107,26.50466666666676,5.411333333333352,15.488075374641651,7,76.24421162366563,0.2617619569264202,catalog,73425,15.0,10,182,False,radio,0,141
100154,25.73600000000009,6.304666666666688,15.459974659155778,4,54.26119077501676,0.1859919136719099,catalog,61,15.0,33,183,True,cib,0,102836
108,25.41800000000008,6.91666666666669,15.456538586250243,6,69.3864374697692,0.2375428180917043,catalog,125,15.0,10,184,False,cib,0,142
100155,25.965333333333408,6.913333333333358,15.443859657692922,13,52.4222515296248,0.1794676068918715,catalog,15,15.0,33,185,True,cib,0,102837
100156,25.11666666666674,6.650666666666689,15.41810604487769,14,52.21609512357202,0.178859244136269,catalog,27490,15.0,33,186,True,cib,0,102838
109,25.87000000000007,6.014000000000021,15.363345777999973,3,73.61848792560036,0.252481484987763,catalog,40,15.0,10,187,False,cib,0,143
101114,26.84666666666676,6.53266666666669,15.35334806404298,4,50.96318121877229,0.1746092117099807,catalog,91625,15.0,46,188,True,radio,0,103800
110,25.015333333333416,5.334000000000018,15.34093355722308,3,77.59094156597848,0.2664192950229726,catalog,24,15.0,10,189,False,cib,0,144
100157,25.54866666666676,6.676666666666689,15.32936075238424,5,52.92333778790753,0.1812722431657071,map,-1,15.0,33,190,True,radio,0,102839
100158,24.98933333333341,6.9333333333333576,15.326486089047403,3,50.79922551294045,0.1739037600148988,map,-1,15.0,33,191,True,radio,0,102840
111,25.13666666666674,5.3866666666666845,15.308045097024776,3,76.32454344478795,0.2620485461161034,catalog,71,15.0,10,192,False,cib,0,145
