,RADeg,decDeg,y_c,SNR,numSigPix,snr_threshold,template,iter_idx,idx,iter_num,patch_num,patch_idx
0,25.916666666666742,6.427333333333355,5.859646806087244e-05,90.9919942806529,1340,50.0,gauss0.65arcmin,10,0,1,0,0.0
1,26.064666666666763,5.040666666666684,3.402290783866508e-05,50.4842408478462,9,50.0,gauss0.4arcmin,5,1,1,0,1.0
2,25.89333333333342,6.4260000000000215,2.362189767211795e-05,36.28548693939883,447,25.0,gauss0.45arcmin,13,2,2,0,2.0
3,25.854666666666752,6.068000000000021,1.8871230290353945e-05,29.06030959454345,231,25.0,gauss0.5arcmin,18,3,2,0,3.0
4,26.432666666666744,6.94266666666669,2.026660631450888e-05,29.056416094744996,131,25.0,gauss0.35arcmin,6,4,2,0,4.0
5,26.089333333333418,6.559333333333355,1.7468977728800957e-05,27.333959786582845,136,25.0,gauss0.5arcmin,20,5,2,0,5.0
6,26.474000000000075,6.348666666666688,1.7853787931703383e-05,23.75950860882058,296,15.0,gauss0.3arcmin,12,6,3,0,6.0
7,26.25800000000008,6.664666666666689,1.5565543770519773e-05,23.493634501821028,470,15.0,gauss0.4arcmin,39,7,3,0,7.0
8,25.936666666666746,6.422000000000022,1.2977787294113972e-05,20.84337469125189,648,15.0,gauss0.6arcmin,94,8,3,0,8.0
9,26.78733333333343,5.012666666666684,1.2996269169391172e-05,20.810815706037214,802,15.0,gauss0.75arcmin,127,9,3,0,9.0
10,26.104666666666763,6.188000000000021,1.4708036358240126e-05,20.805694366000168,278,15.0,gauss0.35arcmin,27,10,3,0,10.0
11,25.88933333333343,5.233333333333351,1.4432098313239662e-05,20.417954481036027,253,15.0,gauss0.35arcmin,28,11,3,0,11.0
12,25.01733333333341,7.040000000000024,1.1655392201277592e-05,20.202982418883263,462,15.0,gauss0.55arcmin,83,12,3,0,12.0
13,26.068666666666758,6.349333333333354,1.5021251414715544e-05,20.144195202422125,173,15.0,gauss0.3arcmin,15,13,3,0,13.0
14,26.342000000000088,6.309333333333354,1.3092093068689956e-05,19.939456890631032,349,15.0,gauss0.45arcmin,59,14,3,0,14.0
15,26.18133333333343,6.509333333333355,1.2252684514657464e-05,19.75805427947304,884,15.0,gauss0.75arcmin,129,15,3,0,15.0
16,25.332666666666764,5.821333333333354,1.2156100790598044e-05,18.991933747654446,243,15.0,gauss0.4arcmin,47,16,3,0,16.0
17,25.434000000000086,6.98266666666669,1.1027398584572052e-05,18.45609812880656,289,15.0,gauss0.5arcmin,76,17,3,0,17.0
18,26.02333333333341,5.388000000000019,1.1814863832352084e-05,16.71496501682975,90,15.0,gauss0.35arcmin,36,18,3,0,18.0
19,26.10866666666675,5.050666666666684,1.1292844460171562e-05,16.009065447119497,52,15.0,gauss0.35arcmin,37,19,3,0,19.0
20,26.393333333333413,6.376000000000022,9.785006401268423e-06,14.90097106183395,174,12.5,gauss0.4arcmin,41,20,4,0,20.0
21,25.841333333333427,6.368000000000022,1.08844572963431e-05,14.815037025737816,112,12.5,gauss0.3arcmin,11,21,4,0,21.0
22,25.931333333333423,5.93400000000002,1.0208187969931291e-05,14.600841290010925,126,12.5,gauss0.35arcmin,28,22,4,0,22.0
23,25.60866666666676,6.563333333333356,8.505854013741578e-06,14.526649480178936,284,12.5,gauss0.6arcmin,79,23,4,0,23.0
24,26.248666666666743,5.65400000000002,1.0104520238128994e-05,14.386258516705,111,12.5,gauss0.35arcmin,29,24,4,0,24.0
