# HMCode_logT_AGN logA mnu nnu ns ombh2 omch2 tau theta
4.749961307094474614e+04 -3.933769037696519808e+04 8.244382569060813694e+03 1.062118583627624503e+04 -5.359756746113600093e+04 5.643329953986081528e+05 -6.807817202851814218e+05 7.986533639551625129e+03 1.441677407354659808e+05
-3.933769037696519808e+04 4.488831133294776082e+06 -2.489479962959472323e+05 -7.214926759486370720e+05 5.004644745641270652e+06 8.702440217695373297e+07 1.655577752228467353e+07 -6.845409203027381562e+06 -1.850630906082175672e+07
8.244382569060813694e+03 -2.489479962959472323e+05 5.051153493638958025e+04 6.430582257023630518e+04 -2.912452806575972936e+05 2.368418571289785672e+06 -3.896897968883103691e+06 7.274674666513164993e+04 1.106373867867407389e+06
1.062118583627624503e+04 -7.214926759486370720e+05 6.430582257023630518e+04 1.546180186220138276e+05 -9.246859242334282026e+05 -1.632869629060656391e+07 -5.012469874296180904e+06 8.861065474637737498e+05 3.474964337464653421e+06
-5.359756746113600093e+04 5.004644745641270652e+06 -2.912452806575972936e+05 -9.246859242334282026e+05 6.421578964398897253e+06 1.267869535967588574e+08 2.132304732454111800e+07 -7.511620661526726559e+06 -2.389244280064527690e+07
5.643329953986081528e+05 8.702440217695373297e+07 2.368418571289785672e+06 -1.632869629060656391e+07 1.267869535967588574e+08 7.474811713177186012e+09 -2.456803488054093719e+08 -1.940863858542465568e+08 -5.668260442687658072e+08
-6.807817202851814218e+05 1.655577752228467353e+07 -3.896897968883103691e+06 -5.012469874296180904e+06 2.132304732454111800e+07 -2.456803488054093719e+08 3.254984944200010300e+08 6.062182715011825785e+05 -4.789443396446540207e+07
7.986533639551625129e+03 -6.845409203027381562e+06 7.274674666513164993e+04 8.861065474637737498e+05 -7.511620661526726559e+06 -1.940863858542465568e+08 6.062182715011825785e+05 1.309991494323233701e+07 2.888392890773628652e+07
1.441677407354659808e+05 -1.850630906082175672e+07 1.106373867867407389e+06 3.474964337464653421e+06 -2.389244280064527690e+07 -5.668260442687658072e+08 -4.789443396446540207e+07 2.888392890773628652e+07 4.158033953044201136e+08
