# ombh2 omch2 logA ns tau theta nnu mnu HMCode_logT_AGN
4.434518024571824074e+08 5.502350650402930565e+06 -3.486956897638293914e+06 -2.983072154987076763e+06 6.647298617455505766e+06 3.552873862386427075e+07 -1.155566770518715057e+05 4.935907918875307223e+04 1.100877917559470916e+04
5.502350650402930565e+06 4.425947695327856578e+06 7.972154355723960907e+04 5.499610654755666619e+05 1.100618826442771970e+05 5.063896871375478804e+06 -1.009182579856555967e+05 -2.746798799591176794e+04 -1.000125000709831147e+04
-3.486956897638293914e+06 7.972154355723960907e+04 5.473717679920366500e+05 6.355431286974942777e+05 -1.057122140509916469e+06 -3.091478806801729370e+06 -7.075282910082348099e+04 -5.105096150062312518e+03 -1.311596904470683512e+03
-2.983072154987076763e+06 5.499610654755666619e+05 6.355431286974942777e+05 9.165896553068533540e+05 -1.211083825838525081e+06 -4.040041201872974634e+06 -1.059083432844071212e+05 -7.844112926500547474e+03 -2.030126012919130289e+03
6.647298617455505766e+06 1.100618826442771970e+05 -1.057122140509916469e+06 -1.211083825838525081e+06 2.107984540658501908e+06 5.916907594023518264e+06 1.323872324840481160e+05 6.785709865932976754e+03 1.555676970543629977e+03
3.552873862386427075e+07 5.063896871375478804e+06 -3.091478806801729370e+06 -4.040041201872974634e+06 5.916907594023518264e+06 1.257585419896470457e+08 4.301078510683214408e+05 9.907503262138810533e+04 8.081991696967708776e+03
-1.155566770518715057e+05 -1.009182579856555967e+05 -7.075282910082348099e+04 -1.059083432844071212e+05 1.323872324840481160e+05 4.301078510683214408e+05 1.335831759249864990e+04 1.131687933620014974e+03 3.056266320579981084e+02
4.935907918875307223e+04 -2.746798799591176794e+04 -5.105096150062312518e+03 -7.844112926500547474e+03 6.785709865932976754e+03 9.907503262138810533e+04 1.131687933620014974e+03 4.442174116658650860e+02 1.257231731971459396e+02
1.100877917559470916e+04 -1.000125000709831147e+04 -1.311596904470683512e+03 -2.030126012919130289e+03 1.555676970543629977e+03 8.081991696967708776e+03 3.056266320579981084e+02 1.257231731971459396e+02 4.569736880329719133e+04
