# ombh2 omch2 logA ns tau theta nnu mnu HMCode_logT_AGN
3.035162605238233089e+09 5.913386814589688554e+06 5.497810910925210267e+07 8.541392097274389863e+07 -1.102928338671062887e+08 -2.610142476785146594e+08 -1.061963947877001204e+07 3.947935654211686779e+04 -3.886025201274106166e+03
5.913386814589688554e+06 4.559844513255932927e+07 4.005140814139022259e+05 2.582423865987415425e+06 3.377400670817225706e+06 1.701028584433026379e+06 -6.605313600240008673e+05 -4.760384062503775349e+05 -1.199408727414615278e+05
5.497810910925210267e+07 4.005140814139022259e+05 2.726289965649372898e+06 2.873904618327829521e+06 -5.168412373923378997e+06 -9.548589202919458970e+06 -3.062828255206647445e+05 -3.320845403871736926e+04 -8.132831215152546065e+03
8.541392097274389863e+07 2.582423865987415425e+06 2.873904618327829521e+06 3.684576845749907661e+06 -5.357790397065805271e+06 -1.293330274418155290e+07 -4.232806940488191321e+05 -4.610929962068552413e+04 -1.163803521606711547e+04
-1.102928338671062887e+08 3.377400670817225706e+06 -5.168412373923378997e+06 -5.357790397065805271e+06 1.025062475527597964e+07 1.777080710662271827e+07 5.382674051988042193e+05 1.540647231136020491e+04 3.688446011059074863e+03
-2.610142476785146594e+08 1.701028584433026379e+06 -9.548589202919458970e+06 -1.293330274418155290e+07 1.777080710662271827e+07 2.417248497898767591e+08 1.455885928005715599e+06 2.741117317907983670e+05 3.796463877143848367e+04
-1.061963947877001204e+07 -6.605313600240008673e+05 -3.062828255206647445e+05 -4.232806940488191321e+05 5.382674051988042193e+05 1.455885928005715599e+06 5.366480262153531658e+04 8.660519530527710231e+03 2.157521689559783681e+03
3.947935654211686779e+04 -4.760384062503775349e+05 -3.320845403871736926e+04 -4.610929962068552413e+04 1.540647231136020491e+04 2.741117317907983670e+05 8.660519530527710231e+03 5.958801221117146270e+03 1.456652537797325294e+03
-3.886025201274106166e+03 -1.199408727414615278e+05 -8.132831215152546065e+03 -1.163803521606711547e+04 3.688446011059074863e+03 3.796463877143848367e+04 2.157521689559783681e+03 1.456652537797325294e+03 4.603782075285499741e+04
