# ombh2 omch2 logA ns tau theta nnu mnu HMCode_logT_AGN
4.495660747819292068e+09 -2.529188925586962141e+06 5.384023636783225834e+07 8.225608106464920938e+07 -1.085078560833831280e+08 -2.803220908499274850e+08 -1.058739435059797764e+07 7.729809938008718018e+04 1.270100601993554847e+04
-2.529188925586962141e+06 4.884580397234820575e+07 6.044693462129177060e+05 2.901117207235042006e+06 3.155332920231493656e+06 8.288910706510230899e+06 -7.204800834135804325e+05 -4.931473265339828795e+05 -1.273508478195304924e+05
5.384023636783225834e+07 6.044693462129177060e+05 2.751182767141924705e+06 2.911793466593418736e+06 -5.196937844866744243e+06 -9.611977984242880717e+06 -3.117620687495058519e+05 -3.565465995871084306e+04 -8.936742050835011469e+03
8.225608106464920938e+07 2.901117207235042006e+06 2.911793466593418736e+06 3.745676634762758389e+06 -5.401896190192446113e+06 -1.288380432320900634e+07 -4.315128926619322738e+05 -4.967110559253500833e+04 -1.283210572354709439e+04
-1.085078560833831280e+08 3.155332920231493656e+06 -5.196937844866744243e+06 -5.401896190192446113e+06 1.028557663951425813e+07 1.773334555119482055e+07 5.446437189760989277e+05 1.787899733942576495e+04 4.504168016138019084e+03
-2.803220908499274850e+08 8.288910706510230899e+06 -9.611977984242880717e+06 -1.288380432320900634e+07 1.773334555119482055e+07 3.628964608846915960e+08 1.445086649507506983e+06 3.654191661885365611e+05 4.288351773979931750e+04
-1.058739435059797764e+07 -7.204800834135804325e+05 -3.117620687495058519e+05 -4.315128926619322738e+05 5.446437189760989277e+05 1.445086649507506983e+06 5.527923154239998985e+04 9.172506569993354788e+03 2.330460362122813422e+03
7.729809938008718018e+04 -4.931473265339828795e+05 -3.565465995871084306e+04 -4.967110559253500833e+04 1.787899733942576495e+04 3.654191661885365611e+05 9.172506569993354788e+03 6.289254321267154410e+03 1.550063293831851070e+03
1.270100601993554847e+04 -1.273508478195304924e+05 -8.936742050835011469e+03 -1.283210572354709439e+04 4.504168016138019084e+03 4.288351773979931750e+04 2.330460362122813422e+03 1.550063293831851070e+03 4.606931449635050376e+04
