# logA mnu nnu ns ombh2 omch2 tau theta
1.595278428946563788e+07 -1.181221553726026556e+06 -2.733049833336763084e+06 1.911829170692277327e+07 1.291929849694602937e+08 1.003065193356117457e+08 -2.054977448381842300e+07 -5.908271310970659554e+07
-1.181221553726026556e+06 1.504844388196322543e+05 2.425599388882794883e+05 -1.475148783968965057e+06 6.359496475920567289e+06 -1.322890153431514837e+07 9.331342170216583181e+05 4.115997989159988705e+06
-2.733049833336763084e+06 2.425599388882794883e+05 5.292369553747404134e+05 -3.490584654422424268e+06 -2.353256736396315321e+07 -2.128980247072595730e+07 3.139915327709527686e+06 1.083582934478507005e+07
1.911829170692277327e+07 -1.475148783968965057e+06 -3.490584654422424268e+06 2.436028050954487175e+07 1.870685926856355667e+08 1.289098752969712317e+08 -2.401045215932090208e+07 -7.563414767179886997e+07
1.291929849694602937e+08 6.359496475920567289e+06 -2.353256736396315321e+07 1.870685926856355667e+08 1.139351341508840752e+10 -6.865072759175912142e+08 -3.219109273950312138e+08 -9.313037943608614206e+08
1.003065193356117457e+08 -1.322890153431514837e+07 -2.128980247072595730e+07 1.289098752969712317e+08 -6.865072759175912142e+08 1.199431874886407375e+09 -7.334810697262059152e+07 -3.117952328852744102e+08
-2.054977448381842300e+07 9.331342170216583181e+05 3.139915327709527686e+06 -2.401045215932090208e+07 -3.219109273950312138e+08 -7.334810697262059152e+07 3.211344448925117776e+07 8.068787809306579828e+07
-5.908271310970659554e+07 4.115997989159988705e+06 1.083582934478507005e+07 -7.563414767179886997e+07 -9.313037943608614206e+08 -3.117952328852744102e+08 8.068787809306579828e+07 6.185994567931256294e+08
