,RADeg,decDeg,y_c,SNR,numSigPix,snr_threshold,template,iter_cluster_idx,cluster_idx,iter_num
0,25.917333333333332,6.427333333333335,6.218776326108624e-05,104.26185265104287,1764,50.0,gauss0.65arcmin,32,0,1
1,25.47266666666668,4.836,4.985515460616826e-05,73.89913041184522,384,50.0,gauss0.4arcmin,13,1,1
2,27.33533333333335,7.420666666666667,4.34016822032913e-05,71.48795544583996,561,50.0,gauss0.55arcmin,25,2,1
3,25.510000000000016,4.837333333333334,4.114607317959056e-05,58.443035215402276,127,50.0,gauss0.35arcmin,11,3,1
4,26.06466666666666,5.040000000000002,3.411121928316751e-05,49.70609979408191,679,25.0,gauss0.4arcmin,35,4,2
5,25.89400000000001,6.4253333333333345,2.4094659085089233e-05,40.030992475614006,638,25.0,gauss0.5arcmin,66,5,2
6,24.549333333333333,4.636000000000001,2.67715390483915e-05,38.68637631422344,441,25.0,gauss0.4arcmin,37,6,2
7,24.65933333333333,5.508000000000001,2.077762321022908e-05,34.569514980962275,455,25.0,gauss0.5arcmin,68,7,2
8,26.591999999999995,4.790000000000001,2.2954669459621786e-05,34.128196223204746,575,25.0,gauss0.55arcmin,84,8,2
9,26.010666666666676,7.427333333333334,1.9185301065183326e-05,33.6861018216861,402,25.0,gauss0.5arcmin,70,9,2
10,24.53133333333333,7.3740000000000006,1.9692887468213088e-05,32.87649626440473,322,25.0,gauss0.45arcmin,55,10,2
11,26.43266666666667,6.942666666666668,2.07906367784871e-05,32.1255080135986,184,25.0,gauss0.35arcmin,26,11,2
12,27.021333333333327,5.5086666666666675,2.0475763263754405e-05,30.782082904732036,207,25.0,gauss0.4arcmin,43,12,2
13,25.854666666666674,6.067333333333334,1.8578929850249753e-05,30.355382592461368,331,25.0,gauss0.55arcmin,87,13,2
14,26.08933333333334,6.558666666666667,1.719077455609983e-05,29.035262990697596,248,25.0,gauss0.55arcmin,90,14,2
15,24.527333333333342,6.344000000000001,1.886009835679936e-05,28.745855787032816,104,25.0,gauss0.35arcmin,31,15,2
16,27.422666666666686,6.219333333333334,1.8218250322479735e-05,28.432758145210073,163,25.0,gauss0.45arcmin,59,16,2
17,24.85666666666668,4.7186666666666675,1.7223352501561016e-05,26.23476359764978,92,25.0,gauss0.55arcmin,93,17,2
18,26.51933333333334,4.694000000000001,1.7551912254544954e-05,25.920540372795752,55,25.0,gauss0.5arcmin,79,18,2
19,24.763333333333335,6.0806666666666676,1.3774748219139423e-05,25.18319547189261,22,25.0,gauss0.75arcmin,146,19,2
20,26.103999999999996,6.186666666666667,1.5866481255464557e-05,25.042151004526136,3,25.0,gauss0.45arcmin,64,20,2
21,26.25666666666667,6.664000000000001,1.4820219272229267e-05,24.811000055920957,663,15.0,gauss0.5arcmin,141,21,3
22,26.484666666666662,4.78,1.7770017170402105e-05,24.45352873387498,345,15.0,gauss0.35arcmin,47,22,3
23,25.017333333333337,7.0406666666666675,1.3736273913607364e-05,24.058526705949827,793,15.0,gauss0.55arcmin,174,23,3
24,26.473999999999997,6.348666666666667,1.601648139474894e-05,23.941853922282903,324,15.0,gauss0.35arcmin,48,24,3
25,26.18133333333333,6.510666666666667,1.3460807649263637e-05,23.39238409580619,1437,15.0,gauss0.75arcmin,272,25,3
26,27.408000000000005,6.809333333333334,1.544500746186424e-05,22.765867213573664,296,15.0,gauss0.35arcmin,50,26,3
27,24.868666666666677,7.512666666666668,1.3965647704804802e-05,22.67096915159477,389,15.0,gauss0.4arcmin,81,27,3
28,26.15333333333335,4.473333333333334,1.4790672469424749e-05,22.611277784141333,872,15.0,gauss0.6arcmin,203,28,3
29,24.948000000000004,4.713333333333334,1.4951169403927871e-05,22.353854488926423,464,15.0,gauss0.45arcmin,115,29,3
30,27.371333333333332,5.754666666666667,1.5210733500380795e-05,21.96284985472578,262,15.0,gauss0.35arcmin,52,30,3
31,25.888666666666662,5.234666666666668,1.4991199385706121e-05,21.90853883045607,286,15.0,gauss0.35arcmin,53,31,3
32,25.93866666666666,6.423333333333334,1.222820160684833e-05,21.20632075243023,1153,15.0,gauss0.75arcmin,276,32,3
33,25.433333333333344,6.982666666666668,1.248599492906004e-05,21.027355048538247,391,15.0,gauss0.45arcmin,119,33,3
34,26.787999999999993,5.013333333333334,1.3563992666300822e-05,20.83922603586937,653,15.0,gauss0.6arcmin,207,34,3
35,26.217333333333336,7.228666666666667,1.1456828322195216e-05,20.670883688344944,522,15.0,gauss0.55arcmin,180,35,3
36,26.069333333333343,6.350000000000001,1.4797019273978575e-05,20.451709703607758,179,15.0,gauss0.3arcmin,26,36,3
37,27.151333333333344,6.372666666666667,1.381167576950776e-05,20.314614201299623,219,15.0,gauss0.35arcmin,57,37,3
38,27.390666666666664,4.830000000000001,1.358525627473578e-05,20.297258352171532,279,15.0,gauss0.4arcmin,87,38,3
39,27.357333333333344,6.478666666666667,1.3298832252923104e-05,19.61229129816413,192,15.0,gauss0.35arcmin,60,39,3
40,25.49533333333334,4.838000000000001,1.2239415533983027e-05,19.56764665915133,1576,15.0,gauss0.75arcmin,279,40,3
41,24.72333333333334,4.796666666666667,1.4518017976047827e-05,18.929480840033786,130,15.0,gauss0.3arcmin,33,41,3
42,25.33266666666666,5.821333333333334,1.1087284585579166e-05,18.909390946829756,326,15.0,gauss0.5arcmin,157,42,3
43,25.68599999999999,7.402666666666667,1.1854302873367022e-05,18.42527372787177,156,15.0,gauss0.35arcmin,64,43,3
44,26.686666666666667,4.454000000000001,1.24808334049623e-05,17.968481262091426,173,15.0,gauss0.4arcmin,97,44,3
45,26.024666666666665,5.386666666666668,1.2818028034235931e-05,17.449322647070606,92,15.0,gauss0.3arcmin,35,45,3
46,25.795333333333343,7.424666666666669,1.0565569402246988e-05,17.429211913238575,145,15.0,gauss0.4arcmin,100,46,3
47,24.86933333333334,6.421333333333335,9.74133114506664e-06,17.364040026161746,327,15.0,gauss0.65arcmin,243,47,3
48,26.10800000000001,5.050000000000001,1.1611165690434996e-05,16.37652561784125,73,15.0,gauss0.35arcmin,72,48,3
49,26.394000000000002,6.374666666666667,9.593320554123308e-06,16.057335635458614,96,15.0,gauss0.5arcmin,166,49,3
50,26.136666666666677,6.4253333333333345,1.0705477148793765e-05,16.03815621708721,52,15.0,gauss0.35arcmin,73,50,3
51,27.038666666666668,5.393333333333334,1.0390976488800734e-05,15.677305005631913,41,15.0,gauss0.4arcmin,104,51,3
52,27.49666666666667,4.482,1.028696844537449e-05,15.50202455563789,35,15.0,gauss0.4arcmin,107,52,3
53,26.66133333333335,5.359333333333334,1.0694839956995284e-05,15.39514640155863,19,15.0,gauss0.35arcmin,75,53,3
54,24.508666666666674,7.002666666666667,8.781845849614112e-06,15.15509709301431,16,15.0,gauss0.5arcmin,171,54,3
55,25.839999999999996,6.368666666666669,1.0865144198291281e-05,15.05188771600694,2,15.0,gauss0.3arcmin,45,55,3
56,25.467333333333332,4.8500000000000005,1.0824288884080933e-05,17.22606675608438,204,15.0,gauss0.5arcmin,4,56,4
57,25.609333333333346,6.563333333333335,8.357602523029474e-06,15.073204886829265,12,15.0,gauss0.65arcmin,9,57,4
58,27.31466666666666,5.0726666666666675,9.946068966254473e-06,15.026823601729863,2,15.0,gauss0.4arcmin,2,58,4
59,24.833999999999996,6.3340000000000005,9.291240166400625e-06,14.887621054780867,166,12.5,gauss0.4arcmin,86,59,5
60,26.450666666666674,5.768666666666667,9.060777298223592e-06,14.782978620901027,245,12.5,gauss0.5arcmin,150,60,5
61,25.919333333333327,5.653333333333334,9.484615651105036e-06,14.636111991100625,145,12.5,gauss0.4arcmin,87,61,5
62,25.17133333333334,4.614000000000001,9.192812829209565e-06,14.558608870164406,232,12.5,gauss0.5arcmin,151,62,5
63,27.598666666666684,5.522000000000001,8.711163919983368e-06,14.463207466108999,364,12.5,gauss0.65arcmin,214,63,5
64,25.12333333333334,4.5953333333333335,9.642365564146235e-06,14.428876655135486,144,12.5,gauss0.4arcmin,88,64,5
65,24.638666666666666,5.501333333333334,8.822967899245747e-06,14.41513396408791,163,12.5,gauss0.45arcmin,121,65,5
66,26.697333333333333,6.9413333333333345,1.0034765277622575e-05,14.40208656610672,87,12.5,gauss0.3arcmin,21,66,5
67,27.340000000000003,6.143333333333334,9.895903142145025e-06,14.402035471495507,108,12.5,gauss0.35arcmin,55,67,5
68,26.594000000000015,5.954666666666667,9.10564093707483e-06,14.077439588268748,113,12.5,gauss0.4arcmin,92,68,5
69,26.716,4.796666666666667,1.203612164772629e-05,14.035189264959303,51,12.5,gauss0.25arcmin,0,69,5
70,25.93200000000001,5.934000000000001,9.039223678313672e-06,13.956208802548707,99,12.5,gauss0.4arcmin,94,70,5
71,27.34666666666668,6.280666666666668,9.466434272007454e-06,13.86895022749383,84,12.5,gauss0.35arcmin,60,71,5
72,26.591999999999995,4.808666666666667,9.969955751379976e-06,13.86083728202913,83,12.5,gauss0.35arcmin,61,72,5
73,24.576000000000008,4.794666666666667,9.449116612696073e-06,13.854322116192023,105,12.5,gauss0.4arcmin,95,73,5
74,26.63199999999999,6.142000000000002,9.416929074733855e-06,13.840264988192944,71,12.5,gauss0.35arcmin,62,74,5
75,26.84133333333334,5.754666666666667,9.460947338349643e-06,13.839545201409475,70,12.5,gauss0.35arcmin,63,75,5
76,26.24933333333333,5.654000000000001,9.417353186902559e-06,13.803694264014007,75,12.5,gauss0.35arcmin,66,76,5
77,25.979333333333347,7.394000000000001,8.753906137952579e-06,13.803534772039193,74,12.5,gauss0.35arcmin,67,77,5
78,25.826000000000008,7.400666666666668,8.262775159557876e-06,13.75722349123693,87,12.5,gauss0.4arcmin,99,78,5
79,25.55066666666668,4.488666666666667,8.953039644330296e-06,13.610729297718224,85,12.5,gauss0.4arcmin,101,79,5
80,24.620666666666686,7.5726666666666675,7.492357201308659e-06,13.58573688049727,344,12.5,gauss0.75arcmin,237,80,5
81,26.268,5.392666666666667,9.973649144125364e-06,13.546757874490833,43,12.5,gauss0.3arcmin,32,81,5
82,24.802000000000003,7.456666666666668,8.345361903906954e-06,13.463764764627786,68,12.5,gauss0.4arcmin,105,82,5
83,24.915333333333347,6.311333333333335,7.829183654285487e-06,13.41831635141325,96,12.5,gauss0.5arcmin,159,83,5
84,26.077333333333346,5.027333333333335,8.656882699740061e-06,13.415104575597702,109,12.5,gauss0.5arcmin,160,84,5
85,27.17466666666667,4.675333333333334,9.264761961323363e-06,13.28158060447063,44,12.5,gauss0.35arcmin,73,85,5
86,26.12933333333334,4.774000000000002,9.389084265414263e-06,13.236721063251467,42,12.5,gauss0.35arcmin,75,86,5
87,25.465333333333337,4.823333333333334,8.151875517683856e-06,13.20875323093531,121,12.5,gauss0.6arcmin,205,87,5
88,25.50333333333334,5.293333333333334,9.409048920385135e-06,13.2065292845596,32,12.5,gauss0.3arcmin,36,88,5
89,24.934000000000015,4.737333333333334,8.980683405510212e-06,13.168684584864966,50,12.5,gauss0.4arcmin,108,89,5
90,24.665333333333336,7.376000000000001,8.122732357448344e-06,13.096021827245002,40,12.5,gauss0.4arcmin,110,90,5
91,25.516000000000002,4.8500000000000005,9.707628554307456e-06,13.047288549565366,27,12.5,gauss0.3arcmin,43,91,5
92,26.21133333333333,5.360666666666668,7.772832371669437e-06,12.971197121606417,93,12.5,gauss0.65arcmin,221,92,5
93,25.668666666666677,7.323333333333333,7.861292979766671e-06,12.921182468552352,30,12.5,gauss0.4arcmin,113,93,5
94,25.895333333333337,7.368000000000001,8.164024687740625e-06,12.872782755023971,21,12.5,gauss0.35arcmin,82,94,5
95,27.042666666666683,7.386000000000001,9.408437028399088e-06,12.86136940046134,15,12.5,gauss0.3arcmin,46,95,5
