# logA mnu nnu ns ombh2 omch2 tau theta
1.512562322863751464e+07 -1.132887174730401952e+06 -2.613381519788428675e+06 1.814187104696145654e+07 1.273608634204220474e+08 9.578874231443648040e+07 -1.941293085019772127e+07 -5.648472612172284722e+07
-1.132887174730401952e+06 1.595334134257811238e+05 2.444067956044955354e+05 -1.435399188282718183e+06 8.877030560528999195e+06 -1.402489400665474497e+07 7.618500490430961363e+05 3.910772299159894232e+06
-2.613381519788428675e+06 2.444067956044955354e+05 5.197944193252841360e+05 -3.368758317161514889e+06 -2.194108382634239271e+07 -2.142918677800738811e+07 2.897381073693595361e+06 1.046371160409117863e+07
1.814187104696145654e+07 -1.435399188282718183e+06 -3.368758317161514889e+06 2.329165672751598060e+07 1.831347431172940135e+08 1.252565997440928817e+08 -2.250868252132854611e+07 -7.267793114960077405e+07
1.273608634204220474e+08 8.877030560528999195e+06 -2.194108382634239271e+07 1.831347431172940135e+08 1.207479326199276543e+10 -9.134785880262395144e+08 -3.408716312156085372e+08 -9.548256185927927494e+08
9.578874231443648040e+07 -1.402489400665474497e+07 -2.142918677800738811e+07 1.252565997440928817e+08 -9.134785880262395144e+08 1.270002693266000509e+09 -5.774297631385205686e+07 -2.924933895632970333e+08
-1.941293085019772127e+07 7.618500490430961363e+05 2.897381073693595361e+06 -2.250868252132854611e+07 -3.408716312156085372e+08 -5.774297631385205686e+07 3.147926011121882498e+07 7.761280391635252535e+07
-5.648472612172284722e+07 3.910772299159894232e+06 1.046371160409117863e+07 -7.267793114960077405e+07 -9.548256185927927494e+08 -2.924933895632970333e+08 7.761280391635252535e+07 6.148429606781443357e+08
