# HMCode_logT_AGN logA mnu nnu ns ombh2 omch2 tau theta
5.041513746449496102e+04 -7.734197143782065541e+04 1.802913284415336602e+04 2.152801403980036048e+04 -1.141874924858774029e+05 1.834109722807122627e+06 -1.518847651049951091e+06 9.631049609739943662e+01 2.378478479384608800e+05
-7.734197143782065541e+04 1.549866597940480569e+06 -3.621333854093962582e+05 -4.257775991157399840e+05 2.012472318820574321e+06 -3.547099113124279678e+07 2.972012338018059358e+07 -1.881560991882980261e+03 -4.748252102258916013e+06
1.802913284415336602e+04 -3.621333854093962582e+05 8.526548753381313873e+04 9.875921428657609795e+04 -4.694063341749322135e+05 8.272513470130489208e+06 -6.906087168932475150e+06 4.395052991627343317e+02 1.078675050943662180e+06
2.152801403980036048e+04 -4.257775991157399840e+05 9.875921428657609795e+04 1.180085055908257345e+05 -5.597357517451036256e+05 9.794417154352745041e+06 -8.228701903268875554e+06 5.173292823693342370e+02 1.340696576985970605e+06
-1.141874924858774029e+05 2.012472318820574321e+06 -4.694063341749322135e+05 -5.597357517451036256e+05 2.876585211648090277e+06 -4.734049506755952537e+07 3.935345722019525617e+07 -2.476411168968631500e+03 -6.205023155582346953e+06
1.834109722807122627e+06 -3.547099113124279678e+07 8.272513470130489208e+06 9.794417154352745041e+06 -4.734049506755952537e+07 8.263184508368089199e+08 -6.847762361982218027e+08 4.320635453059603606e+04 1.094443652526392937e+08
-1.518847651049951091e+06 2.972012338018059358e+07 -6.906087168932475150e+06 -8.228701903268875554e+06 3.935345722019525617e+07 -6.847762361982218027e+08 5.743908683743944168e+08 -3.615338968020444008e+04 -9.296363618790480494e+07
9.631049609739943662e+01 -1.881560991882980261e+03 4.395052991627343317e+02 5.173292823693342370e+02 -2.476411168968631500e+03 4.320635453059603606e+04 -3.615338968020444008e+04 4.000229155443616037e+04 5.762493798618768778e+03
2.378478479384608800e+05 -4.748252102258916013e+06 1.078675050943662180e+06 1.340696576985970605e+06 -6.205023155582346953e+06 1.094443652526392937e+08 -9.296363618790480494e+07 5.762493798618768778e+03 1.606089158089915663e+07
