# HMCode_logT_AGN logA mnu nnu ns ombh2 omch2 tau theta
6.324306408064028801e+04 -3.534593916878809105e+05 5.238056294019358756e+04 7.304947075925407989e+04 -4.701721722193079768e+05 3.612640840347400401e+06 -4.344693623782228678e+06 2.553092169019060093e+05 1.084368890784451738e+06
-3.534593916878809105e+05 1.433477089542754740e+07 -1.153231752389770700e+06 -2.454194866605839692e+06 1.733780025205170736e+07 1.247023633130435944e+08 8.894583261139199138e+07 -1.873500633952211961e+07 -5.384700632641092688e+07
5.238056294019358756e+04 -1.153231752389770700e+06 1.787628717579839868e+05 2.478802505974899104e+05 -1.493283550485628191e+06 1.033745986902728491e+07 -1.453082909743403830e+07 7.754071987951010233e+05 3.941464502083690837e+06
7.304947075925407989e+04 -2.454194866605839692e+06 2.478802505974899104e+05 4.872642287726886570e+05 -3.206587639184951782e+06 -2.155779574763034284e+07 -1.998600456877342612e+07 2.769127391883821227e+06 9.941230695725534111e+06
-4.701721722193079768e+05 1.733780025205170736e+07 -1.493283550485628191e+06 -3.206587639184951782e+06 2.253086690002683550e+07 1.781772349915768504e+08 1.188606542119436115e+08 -2.181230625741915405e+07 -6.996733357107143104e+07
3.612640840347400401e+06 1.247023633130435944e+08 1.033745986902728491e+07 -2.155779574763034284e+07 1.781772349915768504e+08 1.218370342058987617e+10 -9.554347235119142532e+08 -3.382944470289835930e+08 -9.501212458691483736e+08
-4.344693623782228678e+06 8.894583261139199138e+07 -1.453082909743403830e+07 -1.998600456877342612e+07 1.188606542119436115e+08 -9.554347235119142532e+08 1.211301297818947554e+09 -5.246376876820572466e+07 -2.692344305114995241e+08
2.553092169019060093e+05 -1.873500633952211961e+07 7.754071987951010233e+05 2.769127391883821227e+06 -2.181230625741915405e+07 -3.382944470289835930e+08 -5.246376876820572466e+07 3.081259535032457113e+07 7.536209424454827607e+07
1.084368890784451738e+06 -5.384700632641092688e+07 3.941464502083690837e+06 9.941230695725534111e+06 -6.996733357107143104e+07 -9.501212458691483736e+08 -2.692344305114995241e+08 7.536209424454827607e+07 6.063952921069630384e+08
