# ombh2 omch2 logA ns tau theta nnu mnu HMCode_logT_AGN
2.731020870903135300e+09 -4.985567312334578037e+08 1.178844419002837501e+07 2.441639293819780275e+07 -7.506067974200356007e+07 -2.491215350298878551e+08 -2.109678656807056163e+06 5.882559222431955859e+06 2.367748256211145781e+06
-4.985567312334578037e+08 6.186531135228682756e+08 5.612323625648795068e+07 7.346417897008797526e+07 -4.785433738891137391e+07 -1.631719365768535137e+08 -1.066932704573006742e+07 -7.452201319758313708e+06 -2.796002031313530169e+06
1.178844419002837501e+07 5.612323625648795068e+07 8.267761912211460061e+06 1.017307541215655580e+07 -1.048893608279464394e+07 -2.830063155584592372e+07 -1.359622953731774585e+06 -7.010358913899520412e+05 -2.606117615682241158e+05
2.441639293819780275e+07 7.346417897008797526e+07 1.017307541215655580e+07 1.316835268128484301e+07 -1.256205041986970976e+07 -3.677572317068414390e+07 -1.769362116329947952e+06 -9.030989963657314656e+05 -3.353820454220680404e+05
-7.506067974200356007e+07 -4.785433738891137391e+07 -1.048893608279464394e+07 -1.256205041986970976e+07 1.566112354201015271e+07 3.894991109912014753e+07 1.594226053313266253e+06 6.224393753366362071e+05 2.287439790870149445e+05
-2.491215350298878551e+08 -1.631719365768535137e+08 -2.830063155584592372e+07 -3.677572317068414390e+07 3.894991109912014753e+07 1.434388819916336238e+08 4.885491581700027920e+06 2.070962642424637219e+06 7.485294457221139455e+05
-2.109678656807056163e+06 -1.066932704573006742e+07 -1.359622953731774585e+06 -1.769362116329947952e+06 1.594226053313266253e+06 4.885491581700027920e+06 2.433387919571621751e+05 1.305163805072116957e+05 4.837052921284595504e+04
5.882559222431955859e+06 -7.452201319758313708e+06 -7.010358913899520412e+05 -9.030989963657314656e+05 6.224393753366362071e+05 2.070962642424637219e+06 1.305163805072116957e+05 9.024674406741540588e+04 3.384358455734774907e+04
2.367748256211145781e+06 -2.796002031313530169e+06 -2.606117615682241158e+05 -3.353820454220680404e+05 2.287439790870149445e+05 7.485294457221139455e+05 4.837052921284595504e+04 3.384358455734774907e+04 5.838359403186093550e+04
